Op_Seq,BOM_Target(EA),Item_Description,Ref_Des,PDF_Actual(EA),Actual_fond(EA),Not_found(EA),Result
150,1.0,IC_IC. MC68360 MCU 32BIT 25MHZ 5V PGA241,XMN32,,,,
150,7.0,"IC_AMPLIFICATEUR OPERATIONNEL OP.JFET ï¿½18V SOIC8 13""","XMA7,XMA13,XMA21,XMA62,XMA72,XMA76,XMA86",,,,
150,1.0,IC_BUFFER D HORLOGE 49FCT805BT BUFFER HORL. SO20L,XMN3,,,,
150,1.0,IC_IC.CMS EPM7128S EEPLD 128MCELL. QFP100,XMN19,,,,
150,1.0,IC_IC.CMS EPF10K50 FPGA 50KPORT 6NS HQFP240,XMN66,,,,
150,1.0,DIODE_DIODE ZENER CMS 6V8 5% SOD80,XCR124,,,,
150,5.0,IC_AMPLIFICATEUR OPERATIONNEL OP249G 2X AMPLI.OP. JFET SO8,"XMA63,XMA64,XMA65,XMA89,XMA90",,,,
150,2.0,IC_IC.CMS DS90C032B RECEPT.LIGNE LVDS SO16,"XMN119,XMN120",,,,
150,4.0,IC_IC.CMS LTC1595 DAC SERIE 16BIT SO8,"XMA99,XMA100,XMA108,XMA109",,,,
150,5.0,IC_IC DS90C031 4xEMETTEUR DE LIGNE SO16,"XMN111,XMN118,XMN121,XMN122,XMN123",,,,
150,14.0,IC_IC.CMS 26C32 4XDIFF. RECEIVER RS422 SO16,"XMN14,XMN45,XMN46,XMN47,XMN55,XMN57,XMN58,XMN59,XMN67,XMN68,XMN69,XMN79,XMN80,XMN81",,,,
150,6.0,IC_IC.CMS MEM. SRAM 512KX8 17NS SOJ36,"XMN15,XMN16,XMN17,XMN18,XMN40,XMN41",,,,
150,2.0,IC_IC.CMS.ASIC ARINC429 PQFP208,"XMN30,XMN31",,,,
150,4.0,IC_COMPARATEUR DE TENSIONLM319 DUAL COMPARATEUR SO14,"XMA43,XMA52,XMA53,XMA54",,,,
150,1.0,CONN_CONNECTEUR C.I FEMEL.    48PTS,P1,,,,
150,4.0,IC_IC.CMS 74VHC125 4X BUFFER 3ETATS TSSOP14,"XMN1,XMN2,XMN110,XMN114",,,,
